퍼블리싱,아티스트,Nation,Artist,Artist Native,음반,Album,규모,해외,트랙,음원,ver.,feat.,Track,Track Native,장르,속도,비트,전자,보컬,성별,행위,가사,종교,공간,시대,시간,스타일,명암,대중,음량,백엔드,빅데이터,행정,디자이너,,시간,청음,dB(R) 1.0,dB(R) 1.1,기획사,작곡,편곡,작사,실연,가사,음반 관리번호,음원 관리번호,비디오 관리번호,ISRC,UCI,바코드
2019-09-01,강혜인,,Hyein Kang,,Favor,Favor,정규,FALSE,5,Favor,,,Favor,,재즈,2.5,3,2,1,-,-,-,-,2.5,현대,2.5,재즈,3,3.5,4,0,2,2,0,4,4:51,55.4,55.22,,블루쉬림프,강혜인,강혜인,,"강혜인, 임대섭, 원익준, 곽윤찬",,KEI-0002,KEI-0002-05,KEI-0002-05V,KRMIM1914621,uci:i500-1000005899842.100046717565-1,8809990091119
2019-09-01,강혜인,,Hyein Kang,,Favor,Favor,정규,FALSE,6,Be My Sunshine,,Yubin Lee,Be My Sunshine (Feat. Yubin Lee),,재즈,2.5,3,2,4,여,노래,일반,-,3.5,현대,2.5,일반,3,4,4,0,2,3,0,2,4:58,55.27,55.53,,블루쉬림프,"곽윤찬, 강혜인",강혜인,최지은,"강혜인, 임대섭, 원익준, 곽윤찬",,KEI-0002,KEI-0002-06,,KRMIM1914622,uci:i500-1000005899842.100046717566-1,8809990091119
2019-09-01,강혜인,,Hyein Kang,,Favor,Favor,정규,FALSE,7,By and by,,,By and by,,재즈,3.5,3.5,1,1,-,-,-,-,3,현대,3.5,재즈,2.5,3,4,0,2,2,0,4,5:47,55.76,55.93,,블루쉬림프,강혜인,강혜인,,"강혜인, 임대섭, 원익준, 곽윤찬",,KEI-0002,KEI-0002-07,,KRMIM1914623,uci:i500-1000005899842.100046717567-1,8809990091119
2019-09-01,강혜인,,Hyein Kang,,Favor,Favor,정규,FALSE,8,I Surrender All,,,I Surrender All,,재즈,1.5,1.5,1,1,-,-,-,-,1.5,고서,2,일반,3,3,4,2,0,2,0,2,3:56,49.91,49.94,,블루쉬림프,W. S. Weeden,강혜인,,"강혜인, 임대섭, 원익준, 곽윤찬",,KEI-0002,KEI-0002-08,,KRMIM1914624,uci:i500-1000005899842.100046717568-1,8809990091119
2020-02-01,이선행,,Lee Sun-Hang,,예수 나의 구주,Jesus My Savior,정규,FALSE,1,죄짐 맡은 우리 구주,,,What a Friend We Have in Jesus,,종교,1.5,1.5,1,1,-,-,-,-,1,고서,1,일반,3,3,3.5,2,2,3,0,3,4:03,50.92,51.11,,엔하모닉뮤직,C. C. Converse,이선행,,이선행,,KEI-0003,KEI-0003-01,,KRMIM2001462,uci:i500-1000006248024.100049348352-1,
2020-02-01,이선행,,Lee Sun-Hang,,예수 나의 구주,Jesus My Savior,정규,FALSE,2,나 주를 멀리 떠났다,,,I've Wandered far away from God,,종교,1,1.5,1,1,-,-,-,-,1,고서,1.5,일반,3,3,3.5,3,0,3,0,2,2:56,49.71,49.71,,엔하모닉뮤직,W. J. Kirkpatrick,이선행,,이선행,,KEI-0003,KEI-0003-02,,KRMIM2001463,uci:i500-1000006248024.100049348353-1,
2020-02-01,이선행,,Lee Sun-Hang,,예수 나의 구주,Jesus My Savior,정규,FALSE,3,예수 사랑 하심은,,,"Jesus Loves Me, This I Know",,종교,2,1.5,1,1,-,-,-,-,1,고서,2,일반,3,3,3.5,2,2,3,0,2,3:30,48.84,48.65,,엔하모닉뮤직,W. B. Bradbury,이선행,,이선행,,KEI-0003,KEI-0003-03,,KRMIM2001464,uci:i500-1000006248024.100049348354-1,
2020-02-01,이선행,,Lee Sun-Hang,,예수 나의 구주,Jesus My Savior,정규,FALSE,4,나의 죄를 씻기는,,,What Can Wash away my Sin,,종교,2,1.5,1,1,-,-,-,-,1,고서,2,일반,3,3,5,2,2,3,0,2,3:35,50.42,50.55,,엔하모닉뮤직,R. Lowry,이선행,,이선행,,KEI-0003,KEI-0003-04,,KRMIM2001465,uci:i500-1000006248024.100049348355-1,
2020-02-01,이선행,,Lee Sun-Hang,,예수 나의 구주,Jesus My Savior,정규,FALSE,5,예수 나를 위하여,,,Near the Cross,,종교,2,1.5,1,1,-,-,-,-,1,고서,1.5,일반,3,3,3.5,0,2,3,0,3,3:50,49.76,49.95,,엔하모닉뮤직,W. H. Doane,이선행,,이선행,,KEI-0003,KEI-0003-05,,KRMIM2001466,uci:i500-1000006248024.100049348356-1,
2020-02-01,이선행,,Lee Sun-Hang,,예수 나의 구주,Jesus My Savior,정규,FALSE,6,나 같은 죄인 살리신,,,Amazing Grace,,종교,1,1.5,1,1,-,-,-,-,1,고서,1,일반,3,3,3.5,0,2,2,0,2,2:47,46.82,46.74,,엔하모닉뮤직,Traditional American Melody,이선행,,이선행,,KEI-0003,KEI-0003-06,,KRMIM2001467,uci:i500-1000006248024.100049348357-1,
